,line_id,subsection_number,subsection_name,content
53,53,1-21,Definitions.,"§ 1-21. Definitions. Whenever used in this chapter, Code shall mean the Escondido Municipal Code, the Escondido Zoning Code, or any law which they adopt by reference. ""Director"" shall include the city manager or any department head in the city, or their designated agents or representatives. ""Hearing officer"" means any person appointed by the city manager to preside over the administrative hearings provided for by this section. (a) When the person arrested fails to present his driver's license or other satisfactory evidence of his identity for examination; (b) When the person arrested refuses to give his written promise to appear in court; (c) When the person arrested demands an immediate appearance before a magistrate. (a) Declaration and purpose. (1) The council finds and determines that there is a need for alternative methods of enforcement of this code, the zoning code, and laws which these codes adopt by reference. The council further finds and declares that the imposition of civil penalties upon violators of provisions of the codes is a necessary alternative method of enforcement. (2) The procedures established in this section shall be in addition to any other legal remedy established by law which may be pursued to address violations of the codes. (3) The civil penalties provided by sections 1-20 through 1-27 of this chapter are designed to provide remedial sanctions to approximate the damages, costs, and other losses to the city when violations of the codes occur. City of Escondido, CA"
54,54,1-18,GENERAL PROVISIONS § 1-21,"§ 1-18 GENERAL PROVISIONS § 1-21 Downloaded from https://ecode360.com/ES4926 on 2024-02-08 ""Person"" means any natural person, firm, association, club, organization, corporation, partnership, business, trust, company or any other entity which is recognized by law as the subject of rights or duties. ( Ord. 90-45, § 1, 9-5-90 )"
55,55,1-22,Procedures—Generally.,"§ 1-22. Procedures—Generally. ( Ord. 90-45, § 1, 9-5-90 ) (a) Any person violating any provisions of the code may be subject to civil penalties as provided in this section. (b) Each and every day a violation of any provision of the code exists constitutes a separate and distinct offense. (c) Civil penalties may be directly assessed by means of a notice and order issued by the director and/or hearing officer and may be recovered by assessment of a lien or legal action brought by the city attorney. (d) Civil penalties assessed by means of a notice and order shall be collected in accordance with the administrative procedures specified in this section or shall be collected in the same manner as judgments in civil actions. (e) A civil penalty for a violation of any provision of the code shall be assessed at a daily rate determined by the director or hearing officer up to a maximum of $2,500 per day per violation, except that the maximum civil penalty shall not exceed $100,000 for any related series of violations. (f) In determining the amount of the civil penalty to be imposed, the hearing officer may consider some or all of the following factors: (1) The duration of the violation; (2) The frequency or reoccurrence of the violation; (3) The seriousness of the violation; (4) The history of such violation; (5) The violator's conduct after issuance of the notice and order; (6) The good faith effort by the violator to comply; (7) The economic impact of the penalty on the violator; (8) The impact of the violation upon the community and the city; (9) Any other factors which justice may require. (g) Civil penalties shall begin to accrue 10 days from the date the notice and order is issued and shall cease to accrue on the date the violation is deemed corrected by the director. (h) If compliance is not achieved within 10 days from the date the notice and order is issued, the director shall fix the date, time, and place for an administrative hearing. City of Escondido, CA"
56,56,1-21,ESCONDIDO CODE § 1-23,§ 1-21 ESCONDIDO CODE § 1-23 Downloaded from https://ecode360.com/ES4926 on 2024-02-08
57,57,1-23,Procedures—Notice and order.,"§ 1-23. Procedures—Notice and order. ( Ord. 90-45, § 1, 9-5-90 )"
58,58,1-24,Hearing.,"§ 1-24. Hearing. (a) Whenever the director determines that a violation of one or more provisions of the code has occurred or exists, a written notice and order may be issued to the violators and/or any property owners. (b) The notice and order shall refer to the code section violated and describe how the sections are or have been violated. (c) The notice and order shall refer to the dates and locations of all violations. (d) The notice and order shall describe the action required to correct the violation. (e) The notice and order shall require the violators and/or property owners to correct the violations by a certain date. The notice and order shall state that civil penalties shall immediately begin to accrue if compliance is not achieved by the date set forth in the notice and order. (f) The notice and order shall state the consequences should the violators and/or property owners fail to comply with the terms of the notice and order prescribed in this section. (g) The notice and order shall be served upon the violators and/or the property owners or their agents by any one of the following means: (1) Personal service; (2) Certified mail, postage prepaid, return receipt requested; or (3) Posting the notice and order conspicuously on or in front of the property on which the violation is located. (h) The failure of any person with an interest in the property to receive such notice shall not affect the validity of any proceedings taken under this section. Service by certified mail in the manner described in this section shall become effective on the date of mailing. (a) If the violation is not corrected within 10 days from the date the notice and order is issued, the director shall fix a date, time and place for the hearing and request the city manager to appoint a hearing officer. Written notice of the time and place of the hearing shall be served at least 10 days prior to the date of the hearing to the violators and/or each party having a legal interest in the property by any of the methods listed in subsection (g) of section 1-23. (b) Scope of hearing. (1) Existence of violation. The hearing officer shall consider whether a preponderance of evidence demonstrates the existence of the violation. The violators and/or record owners or agents or persons in possession of the property on which the violation is located or any other interested persons may present testimony or evidence concerning the existence of the violations, and the means and time frame for correcting the violation. (2) Civil penalties. The hearing officer shall identify the time frame involved in assessing City of Escondido, CA"
59,59,1-23,GENERAL PROVISIONS § 1-24,"§ 1-23 GENERAL PROVISIONS § 1-24 Downloaded from https://ecode360.com/ES4926 on 2024-02-08 ( Ord. 90-45, § 1, 9-5-90 )"
60,60,1-25,Failure to comply with administrative order.,"§ 1-25. Failure to comply with administrative order. ( Ord. 90-45, § 1, 9-5-90 )"
61,61,1-26,Recovery of civil penalties.,"§ 1-26. Recovery of civil penalties. the civil penalty and shall explain all factors considered in determining the amount of the civil penalty to be imposed. In determining or confirming the amount of the civil penalty to be imposed, the hearing officer shall consider those factors outlined in subsection (f) of section 1-22. The violators, property owners, agents, or persons in possession of the property on which the violation is located or any other interested person may present testimony or evidence relating to the civil penalties and those factors outlined in subsection (f) of section 1-22. (c) Procedures for conducting hearings. Hearings shall be conducted in an expeditious manner to enable all interested parties to present relevant evidence on the assessment and amount of the civil penalties. Formal rules of evidence shall not be required. Time limits for presenting evidence, order of testimony, handling of exhibits, and similar matters shall be at the discretion of the hearing officer. (d) Failure to attend hearing. Failure of the violators and/or any party having a legal interest in the property to attend the hearing shall constitute a waiver of rights to an administrative hearing and adjudication of the notice and order or any portion thereof. (a) Failure to pay civil penalties. Upon the failure of any person to pay the assessed civil penalties by the date specified in the hearing officer's decision, the unpaid amount shall constitute: (1) A personal obligation of the violators and/or property owners; and/or (2) A lien upon the real property upon which the violation is located if the civil penalties have been assessed as to the property owners. The lien shall continue until the civil penalties are fully paid or the property is sold or transferred. (b) Failure to correct violation. Upon the failure of the violator and/or property owners or their agents to correct the violations as specified in the hearing officer's decision, civil penalties may continue to accrue on a daily basis until the violation is corrected except that such amount shall not exceed $100,000. (a) Personal obligation. If collected as a personal obligation, the director shall collect this obligation by the use of all appropriate legal means. If unable to collect the obligation, the director shall refer the obligation to the city attorney to file a court action to recover these costs. (b) Lien. If collected as a lien, the director shall refer the lien to the county auditor in accordance with the procedures set forth in sections 6-496 and 6-497 of this code. The director shall file a withdrawal of the notice with the county recorder once the civil penalties are paid in full. (c) Continuing noncompliance. When a violation continues after the hearing officer renders a decision, the director shall recover the civil penalties in the following manner: City of Escondido, CA"
62,62,1-24,ESCONDIDO CODE § 1-26,"§ 1-24 ESCONDIDO CODE § 1-26 Downloaded from https://ecode360.com/ES4926 on 2024-02-08 ( Ord. 90-45, § 1, 9-5-90 )"
63,63,1-27,Allocation of civil penalties collected.,"§ 1-27. Allocation of civil penalties collected. All civil penalties shall be deposited in a fund established by the city to reimburse investigative costs. Civil penalties deposited in this fund shall be appropriated and allocated in a manner determined by the city manager. The city finance officer shall establish accounting procedures to ensure proper account identification, credit and collection. ( Ord. 90-45, § 1, 9-5-90 )"
64,64,1-28,"Late fees, penalties and interest.","§ 1-28. Late fees, penalties and interest. Any person failing to pay any city billing in full within the specified time period shall be charged late fees, penalties and interest as set by resolution. Interest shall mean a per annum percentage charge commencing when the account becomes past due. Penalty shall mean a fine imposed for a late payment. A payment is considered late if it is received past the due date. ( Ord. No. 94-40, § 1, 12-14-94 ) (1) Review schedule. The director shall set up a schedule to monitor the violation and determine if the violation has been corrected. (2) Accounting report. The director shall keep an itemized account of the daily rate and amount of civil penalties accruing. (3) Subsequent compliance. If the violation is subsequently corrected, the director shall establish a hearing in the same manner as provided for in section 1-24 of this code and provide a notice to the violators and/or property owners. The notice shall identify the responsible parties and state the outstanding amount of civil penalties which have accrued. (4) Recovery of civil penalties. The subsequent civil penalties accrued shall be collected in the same manner provided in this section. If unable to collect any obligation, the director shall refer the obligation to the city attorney to recover these costs. City of Escondido, CA"
65,65,1-26,GENERAL PROVISIONS § 1-28,"§ 1-26 GENERAL PROVISIONS § 1-28 Downloaded from https://ecode360.com/ES4926 on 2024-02-08 	Chapter 1: General Provisions 	Chapter 1: General Provisions 	Chapter 1: General Provisions 	Chapter 1: General Provisions 	§ 1-1 How Code designated and cited. 	Chapter 1: General Provisions 	§ 1-2 Rules of construction and definitions. 	Chapter 1: General Provisions 	§ 1-3 Provisions considered as continuations of existing ordinances. 	Chapter 1: General Provisions 	§ 1-4 Catchlines of sections. 	Chapter 1: General Provisions 	§ 1-5 Effect of repeal of ordinances. 	Chapter 1: General Provisions 	§ 1-6 Effect of Code on prosecution for prior ordinance violation. 	Chapter 1: General Provisions 	§ 1-7 Effect of Code on licenses, penalties. 	Chapter 1: General Provisions 	§ 1-8 Effect of Code on bonds, cash deposits. 	Chapter 1: General Provisions 	§ 1-9 Affect of Code on matters of record. 	Chapter 1: General Provisions 	§ 1-10 Severability of parts of Code. 	Chapter 1: General Provisions 	§ 1-11 Amendments to Code; effect of new ordinances; amendatory language. 	Chapter 1: General Provisions 	§ 1-12 Altering Code. 	Chapter 1: General Provisions 	§ 1-13 General penalty. 	Chapter 1: General Provisions 	§ 1-14 Violations of Code a nuisance. 	Chapter 1: General Provisions 	§ 1-15 Service of notice. 	Chapter 1: General Provisions 	§ 1-16 Proof of service of notice. 	Chapter 1: General Provisions 	§ 1-17 Penalty for infractions. 	Chapter 1: General Provisions 	§ 1-18 Mandatory appearance. 	Chapter 1: General Provisions 	§ 1-19 Limitation on liability. 	Chapter 1: General Provisions 	§ 1-20 Civil penalties—Procedures. 	Chapter 1: General Provisions 	§ 1-21 Definitions. 	Chapter 1: General Provisions 	§ 1-22 Procedures—Generally. 	Chapter 1: General Provisions 	§ 1-23 Procedures—Notice and order. 	Chapter 1: General Provisions 	§ 1-24 Hearing. 	Chapter 1: General Provisions 	§ 1-25 Failure to comply with administrative order. 	Chapter 1: General Provisions 	§ 1-26 Recovery of civil penalties. 	Chapter 1: General Provisions 	§ 1-27 Allocation of civil penalties collected. 	Chapter 1: General Provisions 	§ 1-28 Late fees, penalties and interest."
